divsRank,year,points,divsSpeed,isRelay,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
2,2016,18,1.397428731134712,False,Backstroke,0.7755972985239428,0.2925266919413043,-1.6257477834062517,1.7576440337860637,0.5022036315624572,2
3,2016,16,1.3175230566534912,False,Backstroke,0.8226360390995984,0.21262101746008355,-1.2849625445384694,1.2775314974375875,0.16188782546274108,3
4,2016,14,1.3147515119642388,False,Backstroke,0.8243701862175948,0.2098494727708311,-1.2723990334281368,1.260878695756114,0.15008390200939484,4
5,2016,12,1.1353315168029066,False,Backstroke,0.9546479884570832,0.03042947760949888,-0.32856526126437247,0.1828352463039303,-0.6140603303014903,5
6,2016,11,1.1188185276348177,False,Backstroke,0.9687379337908049,0.013916488441410024,-0.22648673349291742,0.08361709735946081,-0.6843886424813063,6
7,2016,6,1.1111111111111112,False,Backstroke,0.9754577538730415,0.006209071917703479,-0.1778031279403765,0.03730715354238471,-0.7172142920267325,7
8,2016,9,1.103996467211305,False,Backstroke,0.9817440371757788,-0.0009055719821027264,-0.13226040016541935,-0.005441121221943225,-0.7475153412274874,8
9,2016,5,1.0838933448948622,False,Backstroke,0.9999525819147423,-0.02100869429854546,-0.0003435335069227201,-0.1262305533434293,-0.8331339198911247,9
10,2016,0,1.0660980810234542,False,Backstroke,1.0166437479254586,-0.03880395816995352,0.12058026093003078,-0.2331532384688775,-0.9089234005315598,10
11,2016,0,1.0613457864572278,False,Backstroke,1.0211958841101996,-0.04355625273617991,0.15355947759465535,-0.26170735821668417,-0.9291632766934051,11
12,2016,10,1.0546298249314492,False,Backstroke,1.0276989358026865,-0.05027221426195849,0.2006726442584036,-0.3020601534730227,-0.9577663499446942,12
13,2016,7,1.0524100189433805,False,Backstroke,1.0298666197001822,-0.052492020250027194,0.21637703314632073,-0.3153978380624153,-0.9672204352661581,13
14,2016,0,1.027749229188078,False,Backstroke,1.0545782161316326,-0.07715281000532959,0.3954070664685656,-0.4635719745632886,-1.0722499791517268,14
15,2016,8,1.0185373803218578,False,Backstroke,1.0641160252806134,-0.08636465887154987,0.46450637757539687,-0.5189212867658816,-1.111482959699476,15
16,2016,0,1.0175010175010175,False,Backstroke,1.0651998672293612,-0.08740102169239017,0.4723585720193546,-0.5251482635822506,-1.1158967970279994,16
1,2018,18,1.5304560759106214,False,Backstroke,0.7081823293118281,0.4255540367172137,-2.1141542778204463,2.55693765490524,1.068762995019905,1
2,2018,20,1.528117359413203,False,Backstroke,0.7092661712605759,0.42321532021979524,-2.1063020833764883,2.5428854975751682,1.0588024735021906,2
3,2018,16,1.3808340237503451,False,Backstroke,0.784918339283174,0.27593198455693746,-1.5582189111882123,1.6579348816639374,0.43152728401686496,3
4,2018,14,1.3433637829124128,False,Backstroke,0.80681194664788,0.23846174371900508,-1.3996045834202586,1.4327952719542925,0.2719426825689623,4
5,2018,12,1.2693577050012694,False,Backstroke,0.8538506872235356,0.16445566580786175,-1.0588193445524763,0.9881304092670694,-0.043246923477453715,5
6,2018,10,1.2303149606299213,False,Backstroke,0.8809467359422313,0.1254129214365136,-0.8625144834535232,0.7535424260251717,-0.20952876903277956,6
7,2018,9,1.145475372279496,False,Backstroke,0.9461940212568501,0.04057333308608824,-0.38981237792724593,0.24378451195792689,-0.5708579623108937,7
8,2018,8,1.136621959536258,False,Backstroke,0.9535641465083354,0.03171992034285043,-0.3364174557083302,0.19058886002090705,-0.6085643744525817,8
9,2018,7,1.1279043537108053,False,Backstroke,0.9609342717598206,0.02300231451739765,-0.2830225334894153,0.1382092027447766,-0.6456923891149919,9
10,2018,11,1.1261261261261262,False,Backstroke,0.9624516504880676,0.02122408693271849,-0.27202946126787375,0.12752473807530207,-0.6532658056193613,10
11,2018,3,1.0813148788927336,False,Backstroke,1.0023370342019875,-0.023587160300674093,0.016931294269784694,-0.14172324344594803,-0.8441155271638516,11
12,2018,5,1.079447322970639,False,Backstroke,1.004071181319984,-0.025454716222768736,0.02949480538011809,-0.15294443663843155,-0.85206939030549,12
13,2018,2,1.0362694300518134,False,Backstroke,1.04590748054165,-0.0686326091415943,0.3325895109169002,-0.41237842324863444,-1.0359627061401586,13
14,2018,0,1.0158472165786265,False,Backstroke,1.0669340143473578,-0.08905482261478115,0.48492208312968804,-0.5350851117550446,-1.1229402842106802,14
15,2018,1,1.0080645161290323,False,Backstroke,1.0751712131578413,-0.09683752306437543,0.5445987609037697,-0.5818473983730406,-1.1560865656773207,15
16,2018,6,1.00080064051241,False,Backstroke,1.0829748751888255,-0.10410139868099777,0.6011345609002675,-0.6254923305841569,-1.1870231881628723,16
17,2018,0,0.9790483649892304,False,Backstroke,1.1070361664510273,-0.12585367420417726,0.7754532775561384,-0.7561906851201542,-1.2796654595313932,17
18,2018,0,0.9699321047526673,False,Backstroke,1.1174410491590063,-0.13496993444074035,0.8508343442181355,-0.8109656538893334,-1.3184913310500659,18
19,2018,4,0.9580379383023568,False,Backstroke,1.1313142261029785,-0.14686410089105084,0.9513424331007995,-0.8824316475034866,-1.3691482195589404,19
20,2018,0,0.9549274255156608,False,Backstroke,1.134999288728721,-0.1499746136777469,0.9780398942102565,-0.9011211359917664,-1.3823957976972954,20
21,2018,0,0.9435742592942065,False,Backstroke,1.1486556972829438,-0.16132777989920122,1.0769775442041303,-0.9693365345295675,-1.4307485828971291,21
22,2018,0,0.940910801656003,False,Backstroke,1.1519072231291871,-0.16399123753740463,1.1005341275360034,-0.9853398961235567,-1.4420921669297082,22
23,2018,0,0.9307520476545048,False,Backstroke,1.164479789734662,-0.17414999153890287,1.1916195830859178,-1.0463786794323167,-1.4853579872789386,23
24,2018,0,0.90711175616836,False,Backstroke,1.194827364299601,-0.19779028302504764,1.411481027516745,-1.188421161134886,-1.5860412604728888,24
1,2017,20,1.4029180695847363,False,Backstroke,0.7786999136279996,0.29142146010281245,-1.6032700253623213,1.7510032580880108,0.5255825549205627,1
2,2017,18,1.3646288209606987,False,Backstroke,0.8005489572202555,0.25313221147877485,-1.444978552238293,1.52094264736024,0.3625098245413932,2
3,2017,16,1.362026695723236,False,Backstroke,0.8020783902717135,0.25053008624131223,-1.433898149119611,1.505307800952077,0.351427453314208,3
4,2017,14,1.2619888944977284,False,Backstroke,0.865659107125178,0.15049228501580458,-0.9732699623286903,0.9042315596346855,-0.07463046041384445,4
5,2017,11,1.2077294685990339,False,Backstroke,0.9045504047193935,0.09623285911710999,-0.6915111401679204,0.5782142804093305,-0.30571968384016995,5
6,2017,12,1.1887779362815025,False,Backstroke,0.9189707734902824,0.07728132679957866,-0.5870387679060617,0.46434416658157635,-0.3864336761734834,6
7,2017,10,1.124859392575928,False,Backstroke,0.971189987675774,0.013362783094004183,-0.20872214713963486,0.08029016369099888,-0.6586607847875873,7
8,2017,9,1.1025358324145533,False,Backstroke,0.9908541269088043,-0.008960777067370529,-0.06625982132801021,-0.05384074952623815,-0.7537361398316046,8
