,id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,eventMeanAge,eventMedianAge,gender,distance,stroke
190,233,26,,233,16,33,7,56.41,58.56,,False,2017,15.979591836734693,16.0,Boys,50,Backstroke
191,234,27,,234,16,27,7,60.47,65.92,,False,2017,15.979591836734693,16.0,Boys,50,Backstroke
192,235,28,,235,16,27,7,66.47,66.86,,False,2017,15.979591836734693,16.0,Boys,50,Backstroke
193,236,29,,236,16,36,7,64.56,80.8,,False,2017,15.979591836734693,16.0,Boys,50,Backstroke
194,242,1,1.0,242,17,17,8,32.78,29.81,29.58,True,2017,17.0,17.0,Boys,50,Backstroke
195,243,2,2.0,243,17,17,8,32.1,30.71,30.58,True,2017,17.0,17.0,Boys,50,Backstroke
196,244,3,4.0,244,17,18,8,32.0,31.53,32.12,True,2017,17.0,17.0,Boys,50,Backstroke
197,245,4,3.0,245,17,3,8,31.96,32.19,30.89,True,2017,17.0,17.0,Boys,50,Backstroke
198,246,5,6.0,246,17,52,8,34.12,33.57,32.64,True,2017,17.0,17.0,Boys,50,Backstroke
199,247,6,5.0,247,17,5,8,32.6,33.59,32.16,True,2017,17.0,17.0,Boys,50,Backstroke
200,248,7,7.0,248,17,16,8,33.0,34.32,32.97,True,2017,17.0,17.0,Boys,50,Backstroke
201,249,8,8.0,249,17,5,8,35.28,34.45,33.19,True,2017,17.0,17.0,Boys,50,Backstroke
202,250,9,9.0,250,17,52,8,36.13,35.54,35.08,True,2017,17.0,17.0,Boys,50,Backstroke
203,251,10,10.0,251,17,3,8,38.85,35.9,37.03,True,2017,17.0,17.0,Boys,50,Backstroke
204,252,11,11.0,252,17,17,8,38.23,37.44,37.13,True,2017,17.0,17.0,Boys,50,Backstroke
205,253,12,12.0,253,17,3,8,39.16,38.59,37.51,True,2017,17.0,17.0,Boys,50,Backstroke
206,254,13,13.0,254,17,5,8,43.1,40.23,39.81,True,2017,17.0,17.0,Boys,50,Backstroke
207,255,14,14.0,255,17,34,8,43.4,40.75,40.32,True,2017,17.0,17.0,Boys,50,Backstroke
208,256,15,16.0,256,17,5,8,43.26,42.71,43.33,True,2017,17.0,17.0,Boys,50,Backstroke
209,257,16,15.0,257,17,3,8,45.67,43.93,41.41,True,2017,17.0,17.0,Boys,50,Backstroke
210,258,17,21.0,258,17,49,8,46.06,44.51,45.44,True,2017,17.0,17.0,Boys,50,Backstroke
211,259,18,22.0,259,17,27,8,50.04,44.64,46.09,True,2017,17.0,17.0,Boys,50,Backstroke
212,260,19,17.0,260,17,42,8,48.75,45.2,43.62,True,2017,17.0,17.0,Boys,50,Backstroke
213,261,20,23.0,261,17,3,8,45.31,45.46,46.84,True,2017,17.0,17.0,Boys,50,Backstroke
214,262,21,,262,17,5,8,45.8,47.2,,True,2017,17.0,17.0,Boys,50,Backstroke
215,263,22,20.0,263,17,3,8,48.84,47.52,45.37,True,2017,17.0,17.0,Boys,50,Backstroke
216,264,23,18.0,264,17,55,8,46.6,47.67,44.59,True,2017,17.0,17.0,Boys,50,Backstroke
217,265,24,19.0,265,17,55,8,46.8,47.96,44.98,True,2017,17.0,17.0,Boys,50,Backstroke
218,266,25,,266,17,5,8,47.44,49.4,,False,2017,17.0,17.0,Boys,50,Backstroke
219,267,26,,267,17,3,8,55.32,51.47,,False,2017,17.0,17.0,Boys,50,Backstroke
220,268,27,,268,17,3,8,57.85,53.09,,False,2017,17.0,17.0,Boys,50,Backstroke
221,269,28,,269,17,33,8,56.94,54.75,,False,2017,17.0,17.0,Boys,50,Backstroke
222,270,29,,270,17,33,8,64.41,58.98,,False,2017,17.0,17.0,Boys,50,Backstroke
223,271,30,,271,17,3,8,70.88,62.47,,False,2017,17.0,17.0,Boys,50,Backstroke
224,274,1,1.0,274,15,5,9,85.78,81.14,79.25,True,2017,14.885245901639344,15.0,Girls,100,Breaststroke
225,275,2,3.0,275,15,3,9,84.13,84.9,86.51,True,2017,14.885245901639344,15.0,Girls,100,Breaststroke
226,276,3,2.0,276,15,3,9,89.36,87.88,86.35,True,2017,14.885245901639344,15.0,Girls,100,Breaststroke
227,277,4,4.0,277,15,16,9,92.64,91.82,91.08,True,2017,14.885245901639344,15.0,Girls,100,Breaststroke
228,278,5,5.0,278,15,43,9,90.91,93.97999999999999,92.85,True,2017,14.885245901639344,15.0,Girls,100,Breaststroke
