divsRank,swimmerage,qualified,points,divsSpeed,numRelays,numSwimmers,numQualified,gender,distance,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,normed_numSwimmers,normed_numQualified,normed_swimmerage,clipped_divsRank,normed_numRelays
3,14,True,16,1.2623074981065388,2,63,16,Girls,50,Backstroke,0.8844633468123188,0.13120677686509352,-0.8206798413074567,0.7807384491753041,-0.005422157967755126,2.2246264504327597,0.1827095359952077,-2.235966852863884,0.125,1.0
4,15,True,18,1.2616704516780217,2,63,16,Girls,50,Backstroke,0.8849099326981115,0.1305697304365765,-0.8175076528826531,0.7769477407032528,-0.00812736304188165,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.16666666666666666,1.0
5,15,True,11,1.2357884330202669,2,63,16,Girls,50,Backstroke,0.9034432469585059,0.10468771177882163,-0.6858618332533252,0.6229382635162727,-0.11803484398418172,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.20833333333333334,1.0
6,15,True,12,1.224589762429586,2,63,16,Girls,50,Backstroke,0.9117050858456697,0.09348904118814083,-0.6271763473944679,0.5563012123006713,-0.1655897774227126,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.25,1.0
7,15,True,6,1.1619800139437602,1,63,16,Girls,50,Backstroke,0.9608295332828598,0.03087929270231493,-0.27823562066612767,0.1837454716292901,-0.4314608375398229,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.2916666666666667,0.5
8,15,True,10,1.1355893708834885,1,63,16,Girls,50,Backstroke,0.9831588275724917,0.004488649642043319,-0.11962619942597269,0.026709453918096458,-0.5435281819597597,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.3333333333333333,0.5
9,15,True,9,1.120322652924042,0,63,16,Girls,50,Backstroke,0.9965564041462709,-0.010778068317403244,-0.02446054668187969,-0.06413428135565759,-0.6083579981872741,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.375,0.0
10,14,True,4,1.1106175033318524,2,63,16,Girls,50,Backstroke,1.0052648289192274,-0.020483217909592843,0.03739712760178127,-0.12188422097509724,-0.6495707242095602,2.2246264504327597,0.1827095359952077,-2.235966852863884,0.4166666666666667,1.0
11,15,True,5,1.1035091591260207,2,63,16,Girls,50,Backstroke,1.0117403242632206,-0.027591562115424573,0.08339385976142555,-0.16418201811686814,-0.6797561674574221,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.4583333333333333,1.0
12,15,True,7,1.102779003087781,2,63,16,Girls,50,Backstroke,1.0124102030919095,-0.028321718153664133,0.08815214239863024,-0.16852677001590513,-0.682856760649896,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.5,1.0
13,15,True,2,1.0862480990658265,1,63,16,Girls,50,Backstroke,1.0278174161517555,-0.044852622175618695,0.19759264305433652,-0.26689297241745363,-0.7530549180184128,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.5416666666666666,0.5
14,15,True,1,1.0860121633362294,1,63,16,Girls,50,Backstroke,1.0280407090946517,-0.04508855790521582,0.19917873726673754,-0.26829689453208727,-0.7540568144333408,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.5833333333333334,0.5
15,15,True,8,1.0857763300760044,2,63,16,Girls,50,Backstroke,1.028264002037548,-0.04532439116544085,0.2007648314791386,-0.2697002069085612,-0.7550582757141043,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.625,1.0
16,15,True,3,1.0848340203948794,0,63,16,Girls,50,Backstroke,1.0291571738091334,-0.04626670084656581,0.2071092083287459,-0.27530736697042923,-0.7590597751600897,2.2246264504327597,0.1827095359952077,-1.0911794927742544,0.6666666666666666,0.0
1,15,True,20,1.3896609227348529,1,44,24,Girls,50,Backstroke,0.803408008540955,0.25856020149340764,-1.3964320404092188,1.5385477454413599,0.5353816439056829,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.041666666666666664,0.5
2,15,True,18,1.337613697164259,0,44,24,Girls,50,Backstroke,0.8346690205464398,0.2065129759228137,-1.1743788506730009,1.2288436954924475,0.31436412869012653,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.08333333333333333,0.0
3,15,True,16,1.2077294685990339,2,44,24,Girls,50,Backstroke,0.9244327835907598,0.07662874735758862,-0.5367689772875803,0.4559749946126937,-0.237186682106489,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.125,1.0
4,15,True,14,1.2065637065637067,2,44,24,Girls,50,Backstroke,0.9253259553623451,0.07546298532226148,-0.5304246004379739,0.44903819405013906,-0.2421370675603912,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.16666666666666666,1.0
5,15,True,11,1.2004801920768309,0,44,24,Girls,50,Backstroke,0.9300151071631678,0.06937947083538565,-0.49711662197754103,0.4128385877531069,-0.26797059165176557,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.20833333333333334,0.0
6,15,True,9,1.154467790348649,2,44,24,Girls,50,Backstroke,0.9670817356839568,0.023367069107203875,-0.23382498271888366,0.1390444131958862,-0.46336134663580025,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.25,1.0
7,15,True,7,1.1494252873563218,1,44,24,Girls,50,Backstroke,0.9713243015989868,0.01832456611487654,-0.20368919268325528,0.10903928647716983,-0.4847742359802971,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.2916666666666667,0.5
8,15,True,10,1.137138958380714,2,44,24,Girls,50,Backstroke,0.9818190699151137,0.006038237139268876,-0.12914276470038286,0.035930186020137644,-0.5369478892642086,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.3333333333333333,1.0
9,15,True,12,1.1291779584462511,2,44,24,Girls,50,Backstroke,0.9887411511448997,-0.0019227627951940995,-0.07997384411593414,-0.011441290447941748,-0.5707541182198653,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.375,1.0
10,15,True,0,1.1061946902654867,1,44,24,Girls,50,Backstroke,1.009284101891361,-0.02490603097595856,0.06594682342500784,-0.1482019181011921,-0.668352112525162,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.4166666666666667,0.5
11,15,True,8,1.105460977227504,1,44,24,Girls,50,Backstroke,1.00995398072005,-0.025639744013941312,0.07070510606221252,-0.15256783572451232,-0.6714678104467785,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.4583333333333333,0.5
12,15,True,3,1.0981770261366133,1,44,24,Girls,50,Backstroke,1.0166527690069396,-0.03292369510483195,0.11828793243425942,-0.19591057162921285,-0.7023989648630066,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.5,0.5
13,15,True,6,1.0815487778498811,1,44,24,Girls,50,Backstroke,1.0322832750096818,-0.0495519433915641,0.22931452730236673,-0.2948560155313487,-0.7730104927289083,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.5416666666666666,0.5
14,15,True,4,1.074575542660649,1,44,24,Girls,50,Backstroke,1.0389820632965714,-0.05652517858079631,0.27689735367441365,-0.33634985416876606,-0.8026221982067993,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.5833333333333334,0.5
15,15,True,0,1.053740779768177,1,44,24,Girls,50,Backstroke,1.0595250140430328,-0.07735994147326819,0.4228180212153564,-0.46032592353238466,-0.8910966072481353,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.625,0.5
16,15,True,0,1.0530749789385005,1,44,24,Girls,50,Backstroke,1.0601948928717215,-0.07802574230294468,0.4275763038525595,-0.4642877334300222,-0.893923917318755,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.6666666666666666,0.5
17,15,True,1,1.0090817356205852,2,44,24,Girls,50,Backstroke,1.1064165320512596,-0.12201898562086,0.7558978058196799,-0.7260670209247279,-1.0807403560011763,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.7083333333333334,1.0
18,15,True,0,1.0004001600640258,1,44,24,Girls,50,Backstroke,1.1160181285958013,-0.13070056117741946,0.8240998569529466,-0.7777262415715062,-1.1176064951014126,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.75,0.5
19,15,True,5,0.9877518767285658,2,44,24,Girls,50,Backstroke,1.1303088769411658,-0.14334884451287944,0.9256098865466461,-0.8529891308215813,-1.1713171804241882,1.0862476264480871,1.3892303622179252,-1.0911794927742544,0.7916666666666666,1.0
