id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank,designation
79,42.0,,79.0,15.0,39,3,65.18,65.23,,False,2017,0,0.7665184730952016,1.2204329227326352,1.2129911007783591,-1.1131053324171698,24.0,
80,43.0,,80.0,15.0,17,3,63.86,65.96,,False,2017,0,0.7580351728320195,1.2340909946871779,1.2881482938567508,-1.1602040487768353,24.0,
81,44.0,,81.0,15.0,33,3,74.19,70.03999999999999,,False,2017,0,0.7138777841233581,1.3104265201317455,1.7082049346236527,-1.4053629210849348,24.0,
82,45.0,,82.0,15.0,34,3,74.13,70.2,,False,2017,0,0.7122507122507122,1.3134200701491796,1.7246777440654921,-1.4143963154301908,24.0,
83,46.0,,83.0,15.0,36,3,62.8,71.15,,False,2017,0,0.7027406886858748,1.3311942733776942,1.8224850501264136,-1.4671953309734647,24.0,
84,47.0,,84.0,15.0,48,3,106.56,86.72,,False,2017,0,0.5765682656826568,1.622504109449243,3.4254953189353996,-2.1676961949156786,24.0,
85,,,85.0,15.0,17,3,53.3,,,False,2017,0,,,,,,
86,,,86.0,15.0,42,3,74.82,,,False,2017,0,,,,,,
87,,,87.0,15.0,42,3,37.87,,,False,2017,0,,,,,,
88,,,88.0,15.0,42,3,51.31,,,False,2017,0,,,,,,
89,,,89.0,15.0,39,3,80.09,,,False,2017,0,,,,,,
90,,,90.0,15.0,36,3,64.35,,,False,2017,0,,,,,,
91,,,91.0,15.0,33,3,55.77,,,False,2017,0,,,,,,
92,,,92.0,15.0,33,3,83.91,,,False,2017,0,,,,,,
93,,,93.0,15.0,46,3,59.53,,,False,2017,0,,,,,,
94,,,94.0,15.0,3,3,46.15,,,False,2017,0,,,,,,
95,,,95.0,15.0,17,3,47.53,,,False,2017,0,,,,,,
96,,,96.0,15.0,55,3,58.7,,,False,2017,0,,,,,,
1921,1.0,1.0,970.0,15.0,16,3,32.72,33.46,33.18,True,2016,20,1.4943215780035863,0.626026147395891,-2.0578911240168565,2.927608887322799,1.0,
1922,2.0,4.0,971.0,14.0,3,3,38.63,39.04,40.18,True,2016,14,1.2807377049180328,0.7304262042539027,-1.4834018947327112,1.741805491784152,2.0,
1923,3.0,3.0,972.0,14.0,33,3,40.1,39.61,39.44,True,2016,16,1.2623074981065388,0.7410907261910115,-1.4247175110961585,1.6394822147416241,3.0,
1924,4.0,2.0,973.0,15.0,3,3,40.93,39.63,38.26,True,2016,18,1.2616704516780217,0.7414649199431907,-1.4226584099159283,1.6359453755264803,4.0,
1925,5.0,6.0,100.0,15.0,49,3,39.53,40.46,41.44,True,2016,11,1.2357884330202669,0.7569939606586298,-1.3372057109363868,1.4922501369095333,5.0,
1926,6.0,5.0,142.0,15.0,48,3,41.94,40.83,40.74,True,2016,12,1.224589762429586,0.7639165450739459,-1.299112339102134,1.430075865883795,6.0,
1927,7.0,11.0,974.0,15.0,30,3,48.0,43.03,43.77,True,2016,6,1.1619800139437602,0.8050778578136638,-1.0726112092768434,1.082470724747628,7.0,
1928,8.0,7.0,104.0,15.0,38,3,43.04,44.03,42.48,True,2016,10,1.1355893708834885,0.8237875454226266,-0.9696561502653475,0.9359516374250412,8.0,
1929,9.0,8.0,102.0,15.0,45,3,44.66,44.63,42.6,True,2016,9,1.120322652924042,0.8350133579880041,-0.9078831148584502,0.8511918391616626,9.0,
1930,10.0,13.0,975.0,14.0,30,3,44.0,45.02,44.8,True,2016,4,1.1106175033318524,0.8423101361554997,-0.8677306418439665,0.7973094969493406,10.0,
1931,11.0,12.0,130.0,15.0,17,3,45.39,45.31,44.78,True,2016,5,1.1035091591260207,0.8477359455620987,-0.8378736747306332,0.7578444447702543,11.0,
1932,12.0,10.0,976.0,15.0,26,3,44.87,45.34,43.76,True,2016,7,1.102779003087781,0.8482972361903677,-0.8347850229602881,0.7537906672218403,12.0,
1933,13.0,15.0,444.0,15.0,46,3,46.37,46.03,45.99,True,2016,2,1.0862480990658265,0.8612069206405518,-0.7637460322423567,0.6620121923895891,13.0,
1934,14.0,16.0,977.0,15.0,49,3,46.41,46.04,48.26,True,2016,1,1.0860121633362294,0.8613940175166415,-0.7627164816522416,0.6607022929798472,14.0,
1935,15.0,9.0,146.0,15.0,3,3,46.9,46.05,43.45,True,2016,8,1.0857763300760044,0.861581114392731,-0.7616869310621271,0.659392962473214,15.0,
1936,16.0,14.0,978.0,15.0,52,3,47.8,46.09,45.18,True,2016,3,1.0848340203948794,0.8623295018970897,-0.7575687287016664,0.6541613220717903,16.0,
1937,17.0,,103.0,14.0,16,3,43.41,46.1,,False,2016,0,1.0845986984815619,0.8625165987731792,-0.7565391781115519,0.6528548305290285,17.0,
